GENUS;Source;COMMENT on genus;primary_lifestyle;Secondary_lifestyle;Comment_on_lifestyle_template;Endophytic_interaction_capability_template;Plant_pathogenic_capacity_template;Decay_substrate_template;Decay_type_template;Aquatic_habitat_template;Animal_biotrophic_capacity_template;Specific_hosts;Growth_form_template;Fruitbody_type_template;Hymenium_type_template;Ectomycorrhiza_exploration_type_template;Ectomycorrhiza_lineage_template;primary_photobiont;secondary_photobiont
Teratosphaeria;Fungal_traits_DB;;plant_pathogen;litter_saprotroph;;;wood_pathogen;wood,leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Teratosphaericola;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Teratosphaeriopsis;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Xanthoriicola;Fungal_traits_DB;;lichen_parasite;fungal_decomposer;;;;fungal_material,algal_material;;non-aquatic;;;filamentous_mycelium;none;none;;;;
Xenoconiothyrium;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Xenopenidiella;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Xenophacidiella;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Xenoteratosphaeria;Fungal_traits_DB;;plant_pathogen;;;;leaf/fruit/seed_pathogen;;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Catinella;Fungal_traits_DB;;wood_saprotroph;;;;;wood;;non-aquatic;;;filamentous_mycelium;apothecium_(hymenium_on_surface);smooth;;;;
Cladoriella;Fungal_traits_DB;;litter_saprotroph;foliar_endophyte;;foliar_endophyte;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;;;;;;
Collemopsidium;Fungal_traits_DB;;lichenized;;;;;;;non-aquatic;;;thallus_photosynthetic;perithecium_(hymenium_hidden,_narrow_opening);closed;;;cyanobacterial;
Didymellopsis;Fungal_traits_DB;;lichen_parasite;fungal_decomposer;;;;fungal_material,algal_material;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Zwackhiomacromyces;Fungal_traits_DB;;lichen_parasite;fungal_decomposer;;;;fungal_material,algal_material;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Zwackhiomyces;Fungal_traits_DB;;lichen_parasite;fungal_decomposer;;;;fungal_material,algal_material;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Cylindroseptoria;Fungal_traits_DB;;litter_saprotroph;;;no_endophytic_capacity;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Delphinella;Fungal_traits_DB;;wood_saprotroph;plant_pathogen;;no_endophytic_capacity;leaf/fruit/seed_pathogen;wood,leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Dictyodothis;Fungal_traits_DB;;wood_saprotroph;;;no_endophytic_capacity;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Dothichiza;Fungal_traits_DB;;litter_saprotroph;;;no_endophytic_capacity;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;cleistothecium_(closed,_spherical);closed;;;;
Dothidea;Fungal_traits_DB;;litter_saprotroph;wood_saprotroph;;no_endophytic_capacity;leaf/fruit/seed_pathogen;wood,leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Dothiora;Fungal_traits_DB;;wood_saprotroph;;;no_endophytic_capacity;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Endoconidioma;Fungal_traits_DB;;wood_saprotroph;;;no_endophytic_capacity;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Endodothiora;Fungal_traits_DB;;mycoparasite;fungal_decomposer;;no_endophytic_capacity;;fungal_material;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Gonatobotryum;Fungal_traits_DB;;mycoparasite;plant_pathogen;;no_endophytic_capacity;other_plant_pathogen;leaf/fruit/seed,fungal_material;;non-aquatic;;;filamentous_mycelium;other;;;;;
Kabatina;Fungal_traits_DB;;plant_pathogen;wood_saprotroph;;no_endophytic_capacity;wood_pathogen;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Neocylindroseptoria;Fungal_traits_DB;;litter_saprotroph;;;no_endophytic_capacity;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Neophaeocryptopus;Fungal_traits_DB;synonym of Dothiora;wood_saprotroph;;;no_endophytic_capacity;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Phaeocryptopus;Fungal_traits_DB;;plant_pathogen;litter_saprotroph;;no_endophytic_capacity;leaf/fruit/seed_pathogen;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Plowrightia;Fungal_traits_DB;;wood_saprotroph;;;no_endophytic_capacity;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Stylodothis;Fungal_traits_DB;;wood_saprotroph;;;no_endophytic_capacity;;wood;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Sydowia;Fungal_traits_DB;;wood_saprotroph;plant_pathogen;;no_endophytic_capacity;leaf/fruit/seed_pathogen;wood,leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
Uleodothis;Fungal_traits_DB;;plant_pathogen;;;;unspecified_plant_pathogen;;;;;;filamentous_mycelium;;;;;;
Xenomeris;Fungal_traits_DB;;litter_saprotroph;;;;;leaf/fruit/seed;;non-aquatic;;;filamentous_mycelium;perithecium_(hymenium_hidden,_narrow_opening);closed;;;;
